No.,Longitude,Latitude,Climate,MAT (C),MAP(mm),Ecosystem,Restoration time (years),Soil depth (cm),Ambient SOC(g kg-1),lnRR.SOC,lnRR.TN,lnRR.TP,lnRR.AN,lnRR.AP,lnRR.MBC,lnRR.MBN,lnRR.MBP,lnRR.invertase,lnRR.urease,lnRR.catalase,lnRR.phosphatase
66,100.19,39.32,Temperate,7.6,116.8,Non-forest,5,2.5,4.72,0.2808,0.1823,,,,,,,,,,
67,100.19,39.32,Temperate,7.6,116.8,Non-forest,5,2.5,2.62,0.507,0.4238,,,,,,,,,,
68,100.19,39.32,Temperate,7.6,116.8,Non-forest,5,7.5,4.37,0.1796,0,,,,,,,,,,
69,100.19,39.32,Temperate,7.6,116.8,Non-forest,5,7.5,2.02,0.1428,0.1292,,,,,,,,,,
70,100.19,39.32,Temperate,7.6,116.8,Non-forest,5,15,3.98,0.1316,0,,,,,,,,,,
71,100.19,39.32,Temperate,7.6,116.8,Non-forest,5,15,1.69,0.1533,0.1054,,,,,,,,,,
72,105.72,34.58,Subtropical,,540,Forest,9,10,5.08,0.2738,0.4618,-0.7027,0.4739,0.1449,,,,,,,
73,105.72,34.58,Subtropical,,540,Forest,9,30,3.15,0.464,0.3533,-0.2877,0.8762,0.3439,,,,,,,
74,104.48,35.77,Temperate,6.7,390,Non-forest,6,10,5.23,0.9643,1.0686,,,,1.2189,1.3648,,,,,
75,104.48,35.77,Temperate,6.7,390,Non-forest,6,10,5.15,0.9787,1.0081,,,,1.2189,1.0253,,,,,
76,104.48,35.77,Temperate,6.7,390,Forest,50,10,5.23,0.9981,0.8963,,,,1.1889,1.3648,,,,,
77,104.48,35.77,Temperate,6.7,390,Forest,6,10,5.23,0.5471,0.5436,,,,0.7732,1.1403,,,,,
78,104.48,35.77,Temperate,6.7,390,Forest,50,10,5.15,1.0125,0.8358,,,,1.1889,1.0253,,,,,
79,104.48,35.77,Temperate,6.7,390,Forest,6,10,5.15,0.5615,0.4831,,,,0.7732,0.8008,,,,,
80,104.48,35.77,Temperate,6.7,390,Non-forest,6,10,5.23,0.5551,0.5076,,,,0.9361,1.3146,,,,,
81,104.48,35.77,Temperate,6.7,390,Non-forest,6,10,5.15,0.5695,0.4471,,,,0.9361,0.9751,,,,,
82,104.48,35.77,Temperate,6.7,390,Non-forest,20,10,5.23,0.502,0.4119,,,,0.9361,1.3969,,,,,
83,104.48,35.77,Temperate,6.7,390,Non-forest,20,10,5.15,0.5164,0.3513,,,,0.9361,1.0574,,,,,
84,104.42,36.03,Temperate,6.2,328.1,Non-forest,3,5,7.04,0.2923,0.5639,0.2323,,,0.3844,0.5493,,,,,
85,104.42,36.03,Temperate,6.2,328.1,Non-forest,5,5,7.04,0.3429,0.3851,0.1431,,,0.5685,0.4476,,,,,
86,104.42,36.03,Temperate,6.2,328.1,Non-forest,6,5,7.04,0.3698,0.4255,0.3142,,,0.6209,0.7716,,,,,
87,104.42,36.03,Temperate,6.2,328.1,Non-forest,9,5,7.04,0.348,0.3851,-0.08,,,0.2479,0.5053,,,,,
88,104.42,36.03,Temperate,6.2,328.1,Non-forest,10,5,7.04,0.3834,0.3953,-0.0313,,,0.2341,0.4151,,,,,
89,104.42,36.03,Temperate,6.2,328.1,Non-forest,26,5,7.04,0.5821,0.5017,-0.0473,,,1.0162,0.9639,,,,,
90,104.42,36.03,Temperate,6.2,328.1,Non-forest,3,20,6.64,0.3592,0.5895,-0.0323,,,-0.1341,-0.0319,,,,,
91,104.42,36.03,Temperate,6.2,328.1,Non-forest,5,20,6.64,0.3624,0.3429,0.1054,,,-0.1891,-0.1514,,,,,
92,104.42,36.03,Temperate,6.2,328.1,Non-forest,6,20,6.64,0.3582,0.3851,0.2263,,,-0.1812,0.1003,,,,,
93,104.42,36.03,Temperate,6.2,328.1,Non-forest,9,20,6.64,0.0105,0.073,-0.1178,,,-0.8068,-0.3185,,,,,
94,104.42,36.03,Temperate,6.2,328.1,Non-forest,10,20,6.64,0.2399,0.2171,-0.0827,,,-0.9084,-0.7681,,,,,
95,104.42,36.03,Temperate,6.2,328.1,Non-forest,26,20,6.64,0.4439,0.4255,-0.016,,,0.2745,0.0848,,,,,
96,104.42,36.03,Temperate,6.2,328.1,Non-forest,3,45,,,1.2498,0.6931,,,1.6345,1.5892,,,,,
97,104.42,36.03,Temperate,6.2,328.1,Non-forest,5,45,5.18,0.1148,0.63,0.3202,,,1.0343,1.0915,,,,,
98,104.42,36.03,Temperate,6.2,328.1,Non-forest,6,45,5.18,0.3925,0.539,0.4364,,,0.4331,1.5075,,,,,
99,104.42,36.03,Temperate,6.2,328.1,Non-forest,9,45,5.18,-0.1209,-0.0852,-0.1636,,,0.0495,0.8241,,,,,
100,104.42,36.03,Temperate,6.2,328.1,Non-forest,10,45,5.18,-0.0454,-0.0417,-0.019,,,0.0801,0.1301,,,,,
101,104.42,36.03,Temperate,6.2,328.1,Non-forest,26,45,5.18,0.5446,0.5508,0.1072,,,0.8906,1.0778,,,,,
102,104.42,36.03,Temperate,6.2,320,Non-forest,7,10,5.48,0.0288,-0.0328,,,-0.0332,-0.0454,0.0439,,0.0278,-0.0431,0.0574,
103,104.42,36.03,Temperate,6.2,320,Non-forest,11,10,5.48,0.117,-0.0841,,,-0.0574,0.0229,0.014,,-0.0564,0.008,0.0701,
104,104.42,36.03,Temperate,6.2,320,Non-forest,20,10,5.48,0.163,0.0924,,,-0.1718,0.1369,0.0771,,-0.0045,0.0785,0.0906,
105,104.42,36.03,Temperate,6.2,320,Non-forest,43,10,5.48,0.4657,0.3037,,,-0.0234,0.5545,0.4756,,0.186,0.1979,0.2261,
106,104.42,36.03,Temperate,6.2,320,Non-forest,7,30,4.15,0.0787,0.0706,,,-0.0399,0.0539,0.0344,,0.1113,0.0527,-0.0118,
107,104.42,36.03,Temperate,6.2,320,Non-forest,11,30,4.15,0.1517,0.1151,,,0.0553,0.1093,0.072,,-0.1424,0.0647,0.0317,
108,104.42,36.03,Temperate,6.2,320,Non-forest,20,30,4.15,0.2389,0.1576,,,-0.0775,0.1542,0.0928,,-0.0195,0.1121,0.0443,
109,104.42,36.03,Temperate,6.2,320,Non-forest,43,30,4.15,0.362,0.2938,,,0.0332,0.3761,0.3655,,0.2914,0.2655,0.2371,
110,104.42,36.03,Temperate,6.2,320,Non-forest,7,50,3.76,0.0027,-0.0588,,,-0.06,0.0611,0.0753,,-0.0288,0.0698,-0.0524,
111,104.42,36.03,Temperate,6.2,320,Non-forest,11,50,3.76,0.0743,0.0822,,,-0.013,0.174,0.1159,,-0.0585,0.057,0.0244,
112,104.42,36.03,Temperate,6.2,320,Non-forest,20,50,3.76,0.1388,0.2059,,,-0.0925,0.1569,0.0907,,-0.013,0.0787,0.0483,
113,104.42,36.03,Temperate,6.2,320,Non-forest,43,50,3.76,0.3068,0.3159,,,0.0255,0.3412,0.3193,,0.1396,0.224,0.1972,
114,104.42,36.03,Temperate,6.2,320,Non-forest,2,10,9.08,-0.1845,0.0212,0.4465,,0.0792,-0.2334,0.4494,,,,,
115,104.42,36.03,Temperate,6.2,320,Non-forest,3,10,9.08,-0.3236,-0.0072,0.3879,,0.2057,-0.1082,0.6128,,,,,
