No.,Studies,Author.year,Longitude(o),Latitude(o),MAT (¡ãC),MAP(mm),Ecosystem,Restoration time (year),Soil depth (cm),ambient SOC(g kg-1),lnRR.SOC,lnRR.TN,lnRR.TP,lnRR.AN,lnRR.AP,lnRR.MBC,lnRR.MBN,lnRR.MBP,lnRR.invertase,lnRR.urease,lnRR.catalase,lnRR.phosphatase,Climate
137,21,Jiang 2007,104.42,36.03,6.2,320.0,Non-forest,3.0,10.0,5.48,0.5669,0.7171,,,0.0885,1.3365,1.0726,,0.3312,0.2008,0.3939,,Temperate
138,21,Jiang 2007,104.42,36.03,6.2,320.0,Non-forest,5.0,10.0,5.48,0.4983,0.7012,,,0.0872,1.2535,0.9856,,0.2652,0.1357,0.2494,,Temperate
139,21,Jiang 2007,104.42,36.03,6.2,320.0,Non-forest,9.0,10.0,5.48,0.3721,0.6604,,,0.0785,0.9496,0.7027,,0.1823,0.0776,0.1942,,Temperate
140,21,Jiang 2007,104.42,36.03,6.2,320.0,Non-forest,15.0,10.0,5.48,0.4224,0.7481,,,0.076,1.2959,1.0255,,0.3097,0.152,0.3375,,Temperate
141,21,Jiang 2007,104.42,36.03,6.2,320.0,Non-forest,21.0,10.0,5.48,0.6503,0.8073,,,0.0645,1.4493,1.1668,,0.4884,0.2305,0.4201,,Temperate
142,21,Jiang 2007,104.42,36.03,6.2,320.0,Non-forest,25.0,10.0,5.48,0.7412,0.7781,,,0.0569,,1.2078,,0.5586,0.2634,0.4354,,Temperate
143,21,Jiang 2007,104.42,36.03,6.2,320.0,Non-forest,3.0,30.0,4.15,0.5811,0.8403,,,0.4013,0.791,0.7895,,0.2994,0.2691,0.44,,Temperate
144,21,Jiang 2007,104.42,36.03,6.2,320.0,Non-forest,5.0,30.0,4.15,0.4997,0.7751,,,0.3857,0.6543,0.6695,,0.0275,0.2268,0.3957,,Temperate
145,21,Jiang 2007,104.42,36.03,6.2,320.0,Non-forest,9.0,30.0,4.15,0.5011,0.9015,,,0.2895,0.4062,0.4016,,-0.4764,0.1555,0.2986,,Temperate
146,21,Jiang 2007,104.42,36.03,6.2,320.0,Non-forest,15.0,30.0,4.15,0.5468,0.8297,,,0.1061,0.7317,0.7276,,0.2834,0.206,0.4132,,Temperate
147,21,Jiang 2007,104.42,36.03,6.2,320.0,Non-forest,21.0,30.0,4.15,0.5838,0.9308,,,0.2934,0.8962,0.8611,,0.4603,0.3297,0.5213,,Temperate
148,21,Jiang 2007,104.42,36.03,6.2,320.0,Non-forest,25.0,30.0,4.15,0.6284,0.9869,,,0.2666,0.994,0.9671,,0.0481,0.3502,0.5351,,Temperate
149,21,Jiang 2007,104.42,36.03,6.2,320.0,Non-forest,3.0,50.0,3.76,0.442,1.0398,,,0.3554,0.4665,0.3923,,-0.0183,0.2434,0.3596,,Temperate
150,21,Jiang 2007,104.42,36.03,6.2,320.0,Non-forest,5.0,50.0,3.76,0.409,0.9664,,,0.2368,0.5229,0.3207,,-0.1901,0.0949,0.3323,,Temperate
151,21,Jiang 2007,104.42,36.03,6.2,320.0,Non-forest,9.0,50.0,3.76,0.3433,0.9985,,,0.2487,0.1494,0.0684,,-1.1709,0.0282,0.2308,,Temperate
152,21,Jiang 2007,104.42,36.03,6.2,320.0,Non-forest,15.0,50.0,3.76,0.459,1.0296,,,0.17,0.439,0.2863,,-0.437,0.2218,0.382,,Temperate
153,21,Jiang 2007,104.42,36.03,6.2,320.0,Non-forest,21.0,50.0,3.76,0.4855,1.0794,,,0.3371,0.5907,0.4592,,0.033,0.3575,0.4463,,Temperate
154,21,Jiang 2007,104.42,36.03,6.2,320.0,Non-forest,25.0,50.0,3.76,0.535,1.0986,,,0.3263,0.7083,0.5438,,0.2562,0.3708,0.4708,,Temperate
155,22,Liu 2009b,104.42,36.03,6.2,320.0,Non-forest,4.0,10.0,4.89,-0.8948,-1.04,-0.3253,,-0.4865,-1.6037,,,,,,,Temperate
156,22,Liu 2009b,104.42,36.03,6.2,320.0,Non-forest,10.0,10.0,4.89,-0.5675,-0.7325,-0.3059,,-0.9325,-0.4818,,,,,,,Temperate
157,22,Liu 2009b,104.42,36.03,6.2,320.0,Non-forest,11.0,10.0,4.89,-0.6111,-0.7931,-0.3654,,-1.1106,-0.3266,,,,,,,Temperate
158,22,Liu 2009b,104.42,36.03,6.2,320.0,Non-forest,14.0,10.0,4.89,-0.5808,-0.648,-0.3253,,-1.1855,-0.4183,,,,,,,Temperate
