No.,Studies,Author.year,Longitude(o),Latitude(o),MAT (¡ãC),MAP(mm),Ecosystem,Restoration time (year),Soil depth (cm),ambient SOC(g kg-1),lnRR.SOC,lnRR.TN,lnRR.TP,lnRR.AN,lnRR.AP,lnRR.MBC,lnRR.MBN,lnRR.MBP,lnRR.invertase,lnRR.urease,lnRR.catalase,lnRR.phosphatase,Climate
1523,168,Zhang 2010c,109.27,36.73,8.8,549.1,Non-forest,10.0,30.0,2.15,0.4495,0.0465,-0.069,0.4272,-0.0594,,,,0.2181,0.5669,-0.0702,0.5705,Temperate
1524,168,Zhang 2010c,109.27,36.73,8.8,549.1,Non-forest,10.0,50.0,1.89,0.5047,-0.1594,-0.0328,0.54,-0.0183,,,,0.1005,0.293,0.1178,0.6931,Temperate
1525,168,"Dong et al. 2010, Dong 2014",109.26,36.74,8.8,549.1,Non-forest,34.0,2.5,8.71,1.0612,0.7249,,,0.8516,1.4766,1.7878,2.0755,1.0181,0.3339,,0.9132,Temperate
1526,168,"Dong et al. 2010, Dong 2014",109.26,36.74,8.8,549.1,Non-forest,34.0,2.5,8.71,0.696,0.478,,,0.2492,1.1577,0.9665,1.5052,0.5683,0.4169,,0.7657,Temperate
1527,168,"Dong et al. 2010, Dong 2014",109.26,36.74,8.8,549.1,Non-forest,34.0,7.5,9.04,0.4003,0.2007,,,0.0924,1.0812,1.1423,1.4564,0.8642,0.1482,,0.5975,Temperate
1528,168,"Dong et al. 2010, Dong 2014",109.26,36.74,8.8,549.1,Non-forest,34.0,7.5,9.04,0.2562,0.1335,,,-0.5677,0.642,,0.7606,0.3789,0.0711,,0.4854,Temperate
1529,168,"Dong et al. 2010, Dong 2014",109.26,36.74,8.8,549.1,Non-forest,34.0,15.0,7.66,-0.1444,-0.2513,,,-0.5026,0.6104,0.175,1.0068,0.2607,-0.0447,,0.1277,Temperate
1530,168,"Dong et al. 2010, Dong 2014",109.26,36.74,8.8,549.1,Non-forest,34.0,15.0,7.66,0.073,-0.0377,,,-0.8535,0.5059,-0.7199,0.7893,0.2036,0.016,,0.3256,Temperate
1531,168,"Dong et al. 2010, Dong 2014",109.26,36.74,8.8,549.1,Non-forest,34.0,30.0,5.71,-0.4613,-0.7963,,,,,,,-0.807,-0.1412,,-0.0928,Temperate
1532,168,"Dong et al. 2010, Dong 2014",109.26,36.74,8.8,549.1,Non-forest,34.0,30.0,5.71,-0.2118,-0.5645,,,,,,,-0.2468,-0.2314,,0.1271,Temperate
1533,168,"Xue et al. 2008, Wei et al. 2010",109.25,36.77,8.8,505.3,Non-forest,7.0,10.0,2.74,0.1394,-0.0138,-0.1322,-0.1001,-0.4085,0.34,0.0788,-0.0302,0.2296,0.2826,0.4263,0.283,Temperate
1534,168,"Xue et al. 2008, Wei et al. 2010",109.25,36.77,8.8,505.3,Non-forest,13.0,10.0,2.74,0.4271,0.3842,-0.0128,0.5576,-0.2095,0.4057,0.3529,0.115,0.3727,0.4122,0.4925,1.3058,Temperate
1535,168,"Xue et al. 2008, Wei et al. 2010",109.25,36.77,8.8,505.3,Non-forest,20.0,10.0,2.74,0.8561,0.689,0.07,0.9195,0.3118,0.6474,0.7188,0.5226,0.8002,0.8957,0.5626,1.1284,Temperate
1536,168,"Xue et al. 2008, Wei et al. 2010",109.25,36.77,8.8,505.3,Non-forest,25.0,10.0,2.74,0.8927,0.8442,0.0073,0.9195,0.1041,0.781,0.7411,0.4959,1.0262,1.1087,0.5302,1.5494,Temperate
1537,168,"Xue et al. 2008, Wei et al. 2010",109.25,36.77,8.8,505.3,Non-forest,30.0,10.0,2.74,0.7395,0.6654,0.048,0.7696,0.3469,0.8541,0.7751,0.5209,0.7171,1.1613,0.3504,1.4479,Temperate
1538,168,"Xue et al. 2008, Wei et al. 2010",109.25,36.77,8.8,505.3,Non-forest,15.0,10.0,2.74,0.5751,0.4009,-0.011,0.5015,0.364,0.1929,0.2718,0.0717,0.3727,0.3276,0.131,0.9965,Temperate
1539,168,"Xue et al. 2008, Wei et al. 2010",109.25,36.77,8.8,505.3,Non-forest,25.0,10.0,2.74,1.3085,0.9743,0.1328,1.2089,1.076,1.0227,0.9004,0.5392,1.2295,0.8444,0.707,1.2291,Temperate
1540,168,Liu 2009a,109.25,36.72,9.3,549.1,Non-forest,,10.0,0.78,0.4308,0.3137,0.0339,0.4805,0.0153,,,,0.8532,0.0215,0.129,0.8755,Temperate
1541,168,Liu 2009a,109.25,36.72,9.3,549.1,Non-forest,,30.0,0.51,0.1953,0.0392,0.0,0.1237,0.3267,,,,0.6391,0.1335,-0.0594,0.9163,Temperate
1542,168,Liu 2009a,109.25,36.72,9.3,549.1,Non-forest,,50.0,0.41,0.1985,0.0426,-0.0551,-0.0042,0.2041,,,,0.3023,-0.47,-0.0789,-0.5108,Temperate
1543,168,Liang et al. 2013,109.25,36.78,8.8,492.4,Non-forest,26.0,10.0,22.6,0.8178,0.7138,,0.7895,,,,,,,,,Temperate
1544,168,Liang et al. 2013,109.25,36.78,8.8,492.4,Non-forest,26.0,30.0,20.4,0.3273,0.3429,,0.3235,,,,,,,,,Temperate
1545,168,Liang et al. 2013,109.25,36.78,8.8,492.4,Non-forest,26.0,50.0,17.6,0.1719,0.3228,,0.1126,,,,,,,,,Temperate
1546,168,Li et al. 2013b,109.27,36.77,8.8,505.3,Non-forest,,10.0,1.59,1.782,0.996,-0.0183,1.405,0.1804,0.3926,0.6763,0.1297,2.7468,0.7191,0.4675,,Temperate
1547,168,Li et al. 2013b,109.27,36.77,8.8,505.3,Non-forest,,10.0,1.59,1.2785,0.7751,0.087,0.4972,0.3998,0.5261,0.9029,0.0812,2.605,0.1911,0.0814,,Temperate
1548,168,Li et al. 2013b,109.27,36.77,8.8,505.3,Non-forest,,10.0,1.59,1.8128,0.7973,0.018,1.113,0.3169,0.8771,0.9683,0.1629,2.7327,0.1001,0.0111,,Temperate
1549,168,Li et al. 2013b,109.27,36.77,8.8,505.3,Non-forest,,10.0,1.59,1.8616,1.0486,0.087,1.37,0.2265,0.9975,1.4586,0.3474,2.818,1.0986,0.2617,,Temperate
1550,168,Zhang et al. 2010a,109.26,36.75,8.8,549.1,Non-forest,10.0,10.0,2.08,0.8128,,,0.3631,0.1079,,,,,,,,Temperate
1551,168,Zhang et al. 2010a,109.26,36.75,8.8,549.1,Non-forest,10.0,30.0,2.15,0.4495,,,0.4272,-0.0594,,,,,,,,Temperate
1552,168,Zhang et al. 2010a,109.26,36.75,8.8,549.1,Non-forest,10.0,50.0,1.89,0.5047,,,0.54,-0.0183,,,,,,,,Temperate
1553,168,Jiao et al. 2012,109.25,36.75,,504.0,Non-forest,,10.0,2.14,0.3531,0.4126,-0.0159,,-0.15,,,,,,,,Temperate
1554,168,Jiao et al. 2012,109.25,36.75,,504.0,Non-forest,,10.0,2.14,0.8044,0.8175,0.0445,,0.3386,,,,,,,,Temperate
1555,168,Zhang et al. 2013a,109.26,36.74,8.8,510.0,Non-forest,30.0,5.0,3.33,0.9036,0.7885,,,,,,,,,,,Temperate
1556,168,Zhang et al. 2013a,109.26,36.73,8.8,510.0,Non-forest,30.0,5.0,3.33,0.5871,0.422,,,,,,,,,,,Temperate
1557,168,Zhang et al. 2013a,109.26,36.74,8.8,510.0,Non-forest,30.0,15.0,2.89,0.4384,0.4547,,,,,,,,,,,Temperate
1558,168,Zhang et al. 2013a,109.26,36.73,8.8,510.0,Non-forest,30.0,15.0,2.89,0.3074,0.2412,,,,,,,,,,,Temperate
1559,168,Zhang et al. 2013a,109.26,36.74,8.8,510.0,Non-forest,30.0,30.0,2.63,-0.0507,0.0,,,,,,,,,,,Temperate
1560,168,Zhang et al. 2013a,109.26,36.73,8.8,510.0,Non-forest,30.0,30.0,2.63,0.0373,0.0984,,,,,,,,,,,Temperate
1561,168,Zhang et al. 2013a,109.26,36.74,8.8,510.0,Non-forest,30.0,50.0,2.62,-0.1747,0.069,,,,,,,,,,,Temperate
1562,168,Zhang et al. 2013a,109.26,36.73,8.8,510.0,Non-forest,30.0,50.0,2.62,-0.3213,-0.1967,,,,,,,,,,,Temperate
1563,168,Zhang et al. 2013a,109.26,36.74,8.8,510.0,Non-forest,30.0,70.0,2.42,-0.2057,-0.2151,,,,,,,,,,,Temperate
1564,168,Zhang et al. 2013a,109.26,36.73,8.8,510.0,Non-forest,30.0,70.0,2.42,-0.064,-0.1759,,,,,,,,,,,Temperate
1565,168,Zhang et al. 2013a,109.26,36.74,8.8,510.0,Non-forest,30.0,90.0,2.34,-0.3137,-0.1603,,,,,,,,,,,Temperate
1566,168,Zhang et al. 2013a,109.26,36.73,8.8,510.0,Non-forest,30.0,90.0,2.34,0.0976,0.1054,,,,,,,,,,,Temperate
1567,168,Liang et al. 2014,109.25,36.78,8.8,495.0,Non-forest,26.0,10.0,4.2,1.1676,0.6225,,,,,,,,,,,Temperate
1568,168,Liang et al. 2014,109.25,36.78,8.8,495.0,Non-forest,26.0,30.0,4.3,0.6455,0.2877,,,,,,,,,,,Temperate
1569,168,Liang et al. 2014,109.25,36.78,8.8,495.0,Non-forest,26.0,50.0,3.7,0.7066,0.2663,,,,,,,,,,,Temperate
1570,168,Chen 2014,109.27,36.73,8.8,549.1,Non-forest,30.0,5.0,3.12,0.3729,-1.1611,-0.3776,,,,,,,,,,Temperate
1571,168,Chen 2014,109.27,36.73,8.8,549.1,Non-forest,40.0,5.0,3.12,0.9278,0.3052,1.029,,,,,,,,,,Temperate
1572,168,Chen 2014,109.27,36.73,8.8,549.1,Non-forest,30.0,15.0,2.08,0.3696,-0.9202,0.5405,,,,,,,,,,Temperate
1573,168,Chen 2014,109.27,36.73,8.8,549.1,Non-forest,40.0,15.0,2.08,0.6737,-0.6687,1.1466,,,,,,,,,,Temperate
1574,168,Chen 2014,109.27,36.73,8.8,549.1,Non-forest,30.0,25.0,1.82,0.3094,-0.7861,0.1787,,,,,,,,,,Temperate
1575,168,Chen 2014,109.27,36.73,8.8,549.1,Non-forest,40.0,25.0,1.82,0.4308,-0.4619,0.6357,,,,,,,,,,Temperate
1576,168,Chen 2014,109.27,36.73,8.8,549.1,Non-forest,30.0,35.0,1.7,0.1725,-0.8695,0.1853,,,,,,,,,,Temperate
1577,168,Chen 2014,109.27,36.73,8.8,549.1,Non-forest,40.0,35.0,1.7,0.4918,-0.7814,0.2183,,,,,,,,,,Temperate
1578,168,Chen 2014,109.27,36.73,8.8,549.1,Non-forest,30.0,45.0,1.65,0.1411,-0.3803,0.3542,,,,,,,,,,Temperate
1579,168,Chen 2014,109.27,36.73,8.8,549.1,Non-forest,40.0,45.0,1.65,0.4813,0.0862,0.447,,,,,,,,,,Temperate
1580,168,Chen 2014,109.27,36.73,8.8,549.1,Non-forest,30.0,55.0,1.6,0.1233,-0.1284,0.7584,,,,,,,,,,Temperate
1581,168,Chen 2014,109.27,36.73,8.8,549.1,Non-forest,40.0,55.0,1.6,0.497,0.2317,0.8823,,,,,,,,,,Temperate
1582,168,Chen 2014,109.27,36.73,8.8,549.1,Non-forest,30.0,65.0,1.58,0.1192,-0.7935,-0.0362,,,,,,,,,,Temperate
1583,168,Chen 2014,109.27,36.73,8.8,549.1,Non-forest,40.0,65.0,1.58,0.4942,0.4562,1.059,,,,,,,,,,Temperate
1584,168,Chen 2014,109.27,36.73,8.8,549.1,Non-forest,30.0,75.0,1.55,0.1271,-0.1371,0.3247,,,,,,,,,,Temperate
1585,168,Chen 2014,109.27,36.73,8.8,549.1,Non-forest,40.0,75.0,1.55,0.4978,0.3818,0.5562,,,,,,,,,,Temperate
1586,168,Chen 2014,109.27,36.73,8.8,549.1,Non-forest,30.0,85.0,1.53,0.1286,-0.7027,0.0283,,,,,,,,,,Temperate
1587,168,Chen 2014,109.27,36.73,8.8,549.1,Non-forest,40.0,85.0,1.53,0.5186,0.3032,0.799,,,,,,,,,,Temperate
1588,168,Chen 2014,109.27,36.73,8.8,549.1,Non-forest,30.0,95.0,1.5,0.1369,-0.6073,-0.4056,,,,,,,,,,Temperate
1589,168,Chen 2014,109.27,36.73,8.8,549.1,Non-forest,40.0,95.0,1.5,0.5228,-0.2201,0.06,,,,,,,,,,Temperate
1590,168,Chen 2014,109.27,36.73,8.8,549.1,Non-forest,30.0,110.0,1.52,0.106,-0.8476,-0.635,,,,,,,,,,Temperate
1591,168,Chen 2014,109.27,36.73,8.8,549.1,Non-forest,40.0,110.0,1.52,0.4936,-0.11,0.2943,,,,,,,,,,Temperate
1592,168,Chen 2014,109.27,36.73,8.8,549.1,Non-forest,30.0,130.0,1.5,0.131,-1.0506,-0.4703,,,,,,,,,,Temperate
1593,168,Chen 2014,109.27,36.73,8.8,549.1,Non-forest,40.0,130.0,1.5,0.4865,-0.3221,0.4165,,,,,,,,,,Temperate
1594,168,Chen 2014,109.27,36.73,8.8,549.1,Non-forest,30.0,150.0,1.48,0.1503,-0.9876,-0.3389,,,,,,,,,,Temperate
1595,168,Chen 2014,109.27,36.73,8.8,549.1,Non-forest,40.0,150.0,1.48,0.4834,-0.9816,-0.0945,,,,,,,,,,Temperate
1596,168,Chen 2014,109.27,36.73,8.8,549.1,Non-forest,30.0,170.0,1.47,0.1629,-0.9812,-0.4502,,,,,,,,,,Temperate
1597,168,Chen 2014,109.27,36.73,8.8,549.1,Non-forest,40.0,170.0,1.47,0.4985,-0.7792,-0.0308,,,,,,,,,,Temperate
1598,168,Chen 2014,109.27,36.73,8.8,549.1,Non-forest,30.0,190.0,1.46,0.1697,-1.3445,-1.007,,,,,,,,,,Temperate
1599,168,Chen 2014,109.27,36.73,8.8,549.1,Non-forest,40.0,190.0,1.46,0.5177,-0.3916,0.0714,,,,,,,,,,Temperate
1600,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,20.0,5.0,3.12,0.9248,-1.2757,-0.2583,,,,,,,,,,Temperate
1601,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,30.0,5.0,3.12,0.85,-1.0506,-0.2682,,,,,,,,,,Temperate
1602,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,40.0,5.0,3.12,1.0741,-0.9656,-0.0148,,,,,,,,,,Temperate
1603,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,20.0,15.0,2.08,0.9099,-0.8602,0.7397,,,,,,,,,,Temperate
1604,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,30.0,15.0,2.08,1.1496,-0.7175,0.7293,,,,,,,,,,Temperate
1605,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,40.0,15.0,2.08,1.2555,-0.8377,1.0553,,,,,,,,,,Temperate
1606,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,20.0,25.0,1.82,0.4773,-0.5334,0.2506,,,,,,,,,,Temperate
1607,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,30.0,25.0,1.82,0.9344,-0.7376,0.2309,,,,,,,,,,Temperate
1608,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,40.0,25.0,1.82,0.5849,-0.5592,0.221,,,,,,,,,,Temperate
1609,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,20.0,35.0,1.7,0.6931,-0.6264,0.2076,,,,,,,,,,Temperate
1610,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,30.0,35.0,1.7,0.7956,-0.8372,0.2172,,,,,,,,,,Temperate
1611,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,40.0,35.0,1.7,1.0586,-0.7782,0.2027,,,,,,,,,,Temperate
1612,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,20.0,45.0,1.65,0.7132,-0.1618,0.2529,,,,,,,,,,Temperate
1613,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,30.0,45.0,1.65,0.8342,-0.2481,0.2723,,,,,,,,,,Temperate
1614,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,40.0,45.0,1.65,1.0678,-0.1056,0.243,,,,,,,,,,Temperate
1615,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,20.0,55.0,1.6,0.5947,-0.5227,0.347,,,,,,,,,,Temperate
1616,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,30.0,55.0,1.6,0.5477,-0.3104,0.3565,,,,,,,,,,Temperate
1617,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,40.0,55.0,1.6,1.1527,-0.3458,0.3177,,,,,,,,,,Temperate
1618,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,20.0,65.0,1.58,0.9121,-0.5461,0.2945,,,,,,,,,,Temperate
1619,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,30.0,65.0,1.58,0.2522,-0.5655,0.1948,,,,,,,,,,Temperate
1620,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,40.0,65.0,1.58,0.9777,-0.3621,0.2459,,,,,,,,,,Temperate
1621,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,20.0,75.0,1.55,0.9563,0.0801,0.3687,,,,,,,,,,Temperate
1622,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,30.0,75.0,1.55,0.7455,-0.0799,0.3828,,,,,,,,,,Temperate
1623,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,40.0,75.0,1.55,0.8427,0.1473,0.3156,,,,,,,,,,Temperate
1624,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,20.0,85.0,1.53,0.7379,-0.1159,0.2636,,,,,,,,,,Temperate
1625,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,30.0,85.0,1.53,0.4776,-0.5025,0.24,,,,,,,,,,Temperate
1626,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,40.0,85.0,1.53,0.9097,-0.2906,0.1958,,,,,,,,,,Temperate
1627,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,20.0,95.0,1.5,0.6,-0.1098,0.1184,,,,,,,,,,Temperate
1628,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,30.0,95.0,1.5,1.177,-0.1555,0.0793,,,,,,,,,,Temperate
1629,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,40.0,95.0,1.5,0.9555,-0.1462,0.1279,,,,,,,,,,Temperate
1630,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,20.0,110.0,1.52,0.4428,-0.3256,-0.0599,,,,,,,,,,Temperate
1631,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,30.0,110.0,1.52,0.6687,-0.3436,-0.1167,,,,,,,,,,Temperate
1632,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,40.0,110.0,1.52,0.5621,-0.4902,-0.0878,,,,,,,,,,Temperate
1633,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,20.0,130.0,1.5,0.768,-0.9805,-0.0249,,,,,,,,,,Temperate
1634,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,30.0,130.0,1.5,0.5628,-0.7318,-0.1485,,,,,,,,,,Temperate
1635,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,40.0,130.0,1.5,0.9725,-0.8281,-0.0872,,,,,,,,,,Temperate
1636,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,20.0,150.0,1.48,1.1766,-0.9443,-0.1638,,,,,,,,,,Temperate
1637,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,30.0,150.0,1.48,0.8119,-0.9006,-0.236,,,,,,,,,,Temperate
1638,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,40.0,150.0,1.48,0.9604,-1.0778,-0.1968,,,,,,,,,,Temperate
1639,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,20.0,170.0,1.47,0.5956,-1.0535,-0.3192,,,,,,,,,,Temperate
1640,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,30.0,170.0,1.47,0.7133,-0.9544,-0.4166,,,,,,,,,,Temperate
1641,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,40.0,170.0,1.47,0.7022,-1.1635,-0.4021,,,,,,,,,,Temperate
1642,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,20.0,190.0,1.46,0.991,-1.2222,-0.5599,,,,,,,,,,Temperate
1643,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,30.0,190.0,1.46,0.9995,-1.0771,-0.7253,,,,,,,,,,Temperate
1644,168,Yang 2014,109.34,36.85,8.9,535.0,Non-forest,40.0,190.0,1.46,0.7743,-1.1326,-0.6637,,,,,,,,,,Temperate
1645,168,Liu 2012,109.26,36.76,8.8,505.3,Non-forest,30.0,5.0,5.42,-0.5669,-0.8806,,,-1.3912,-1.8348,-3.5943,-1.8729,,,,,Temperate
1646,168,Liu 2012,109.26,36.76,8.8,505.3,Non-forest,30.0,20.0,2.76,0.0042,-0.0008,,,-0.6851,0.7145,-0.1473,-1.9582,,,,,Temperate
1647,168,Liu 2012,109.26,36.76,8.8,505.3,Non-forest,30.0,45.0,1.27,0.4409,0.1942,,,-0.0911,1.6156,-0.2679,-1.0153,,,,,Temperate
1648,168,Cui et al. 2012,109.25,36.78,8.8,542.5,Non-forest,10.0,5.0,3.83,-0.1986,0.0,-0.1198,,,,,,,,,,Temperate
1649,168,Cui et al. 2012,109.25,36.78,8.8,542.5,Non-forest,10.0,15.0,3.85,-0.3623,-0.3102,-0.1759,,,,,,,,,,Temperate
1650,168,Cui et al. 2012,109.25,36.78,8.8,542.5,Non-forest,10.0,25.0,3.37,-0.4588,-0.5108,-0.1596,,,,,,,,,,Temperate
1651,168,Cui et al. 2012,109.25,36.78,8.8,542.5,Non-forest,10.0,35.0,3.36,-0.5288,-0.2973,-0.179,,,,,,,,,,Temperate
1652,168,Cui et al. 2012,109.25,36.78,8.8,542.5,Non-forest,10.0,50.0,2.64,-0.4761,-0.3302,-0.1457,,,,,,,,,,Temperate
1653,168,Cui et al. 2012,109.25,36.78,8.8,542.5,Non-forest,17.0,5.0,3.83,0.1745,0.2231,-0.0328,,,,,,,,,,Temperate
1654,168,Cui et al. 2012,109.25,36.78,8.8,542.5,Non-forest,17.0,15.0,3.85,-0.3113,-0.1691,-0.1018,,,,,,,,,,Temperate
1655,168,Cui et al. 2012,109.25,36.78,8.8,542.5,Non-forest,17.0,25.0,3.37,-0.5118,-0.4394,-0.1035,,,,,,,,,,Temperate
1656,168,Cui et al. 2012,109.25,36.78,8.8,542.5,Non-forest,17.0,35.0,3.36,-0.6297,-0.2595,-0.1219,,,,,,,,,,Temperate
1657,168,Cui et al. 2012,109.25,36.78,8.8,542.5,Non-forest,17.0,50.0,2.64,-0.4402,-0.2877,-0.0886,,,,,,,,,,Temperate
1658,168,Cui et al. 2012,109.25,36.78,8.8,542.5,Non-forest,26.0,5.0,3.83,0.9527,0.9343,0.0317,,,,,,,,,,Temperate
1659,168,Cui et al. 2012,109.25,36.78,8.8,542.5,Non-forest,26.0,15.0,3.85,0.3494,0.3365,0.016,,,,,,,,,,Temperate
1660,168,Cui et al. 2012,109.25,36.78,8.8,542.5,Non-forest,26.0,25.0,3.37,0.1253,0.0,0.0323,,,,,,,,,,Temperate
1661,168,Cui et al. 2012,109.25,36.78,8.8,542.5,Non-forest,26.0,35.0,3.36,-0.0241,0.0556,0.0163,,,,,,,,,,Temperate
1662,168,Cui et al. 2012,109.25,36.78,8.8,542.5,Non-forest,26.0,50.0,2.64,0.0335,0.0,0.0496,,,,,,,,,,Temperate
1663,168,Cui et al. 2012,109.25,36.78,8.8,542.5,Non-forest,34.0,5.0,3.83,0.9607,0.7697,0.0924,,,,,,,,,,Temperate
1664,168,Cui et al. 2012,109.25,36.78,8.8,542.5,Non-forest,34.0,15.0,3.85,0.2693,0.1054,0.0473,,,,,,,,,,Temperate
1665,168,Cui et al. 2012,109.25,36.78,8.8,542.5,Non-forest,34.0,25.0,3.37,-0.003,-0.2513,0.0323,,,,,,,,,,Temperate
1666,168,Cui et al. 2012,109.25,36.78,8.8,542.5,Non-forest,34.0,35.0,3.36,-0.1717,-0.4199,0.0323,,,,,,,,,,Temperate
1667,168,Cui et al. 2012,109.25,36.78,8.8,542.5,Non-forest,34.0,50.0,2.64,0.0262,-0.6931,0.0656,,,,,,,,,,Temperate
1668,168,Cui et al. 2012,109.25,36.78,8.8,542.5,Non-forest,40.0,5.0,3.83,1.0943,0.6103,0.0625,,,,,,,,,,Temperate
1669,168,Cui et al. 2012,109.25,36.78,8.8,542.5,Non-forest,40.0,15.0,3.85,0.2929,0.022,-0.0163,,,,,,,,,,Temperate
1670,168,Cui et al. 2012,109.25,36.78,8.8,542.5,Non-forest,40.0,25.0,3.37,-0.0363,-0.1431,-0.179,,,,,,,,,,Temperate
1671,168,Cui et al. 2012,109.25,36.78,8.8,542.5,Non-forest,40.0,35.0,3.36,-0.3118,-0.0896,-0.0333,,,,,,,,,,Temperate
1672,168,Cui et al. 2012,109.25,36.78,8.8,542.5,Non-forest,40.0,50.0,2.64,-0.1466,-0.0645,0.0,,,,,,,,,,Temperate
1673,168,Cui et al. 2012,109.25,36.78,8.8,542.5,Non-forest,50.0,5.0,3.83,0.9416,0.4785,0.0317,,,,,,,,,,Temperate
1674,168,Cui et al. 2012,109.25,36.78,8.8,542.5,Non-forest,50.0,15.0,3.85,0.2733,0.1823,0.0,,,,,,,,,,Temperate
1675,168,Cui et al. 2012,109.25,36.78,8.8,542.5,Non-forest,50.0,25.0,3.37,-0.0149,-0.069,-0.0165,,,,,,,,,,Temperate
1676,168,Cui et al. 2012,109.25,36.78,8.8,542.5,Non-forest,50.0,35.0,3.36,-0.1717,0.0282,-0.0165,,,,,,,,,,Temperate
1677,168,Cui et al. 2012,109.25,36.78,8.8,542.5,Non-forest,50.0,50.0,2.64,-0.0269,0.0896,0.0333,,,,,,,,,,Temperate
1678,168,Han et al. 2017,109.25,36.78,8.8,510.0,Non-forest,13.0,10.0,3.2,0.4855,0.0,,,,,,,,,,,Temperate
1679,168,Han et al. 2017,109.25,36.78,8.8,510.0,Non-forest,28.0,10.0,3.2,0.7969,0.2231,,,,,,,,,,,Temperate
1680,168,Han et al. 2017,109.25,36.78,8.8,510.0,Non-forest,38.0,10.0,3.2,0.9651,0.4055,,,,,,,,,,,Temperate
1681,169,Yue et al. 2007a,108.0,36.98,7.8,478.3,Non-forest,,10.0,5.7,0.3083,-0.0841,0.3732,0.491,-1.0841,,,,-0.7456,0.1291,0.0933,-0.0474,Temperate
1682,169,Yue et al. 2007a,108.0,36.98,7.8,478.3,Non-forest,,30.0,,,-0.1728,0.2578,0.1335,-0.3382,,,,-0.6713,-0.3771,0.0147,0.0139,Temperate
1683,170,Dong et al. 2014a,108.12,37.07,7.8,478.3,Non-forest,50.0,10.0,3.83,1.7897,,,,1.352,,,,,,,,Temperate
1684,170,Dong et al. 2014a,108.12,37.07,7.8,478.3,Non-forest,50.0,10.0,3.09,2.005,,,,0.9812,,,,,,,,Temperate
1685,171,Yue et al. 2007a,108.0,36.98,7.8,478.3,Forest,,10.0,5.7,0.2849,0.0625,0.2697,0.5276,-0.9246,,,,0.5601,0.4156,0.0822,0.8724,Temperate
1686,171,Yue et al. 2007a,108.0,36.98,7.8,478.3,Forest,,30.0,,,-0.0827,-0.0299,-0.1238,-0.4169,,,,-0.0244,-0.1819,-0.066,0.0151,Temperate
1687,171,Yue et al. 2007b,108.0,36.98,7.8,478.3,Forest,,10.0,5.7,0.0564,0.1542,0.0317,0.4008,-0.9502,,,,,,,,Temperate
1688,171,Yue et al. 2007b,108.0,36.98,7.8,478.3,Forest,,10.0,5.7,0.1125,0.3228,-0.2151,-0.012,-1.0841,,,,,,,,Temperate
1689,171,Yue et al. 2007b,108.0,36.98,7.8,478.3,Forest,,30.0,5.19,-0.1558,-0.1252,-0.1358,-0.1948,-0.3914,,,,,,,,Temperate
