No.,Studies,Author.year,Longitude(o),Latitude(o),MAT (°„C),MAP(mm),Ecosystem,Restoration time (year),Soil depth (cm),ambient SOC(g kg-1),lnRR.SOC,lnRR.TN,lnRR.TP,lnRR.AN,lnRR.AP,lnRR.MBC,lnRR.MBN,lnRR.MBP,lnRR.invertase,lnRR.urease,lnRR.catalase,lnRR.phosphatase
73,15,Zhang et al. 2012,105.72,34.58,NA,540,Forest,9,30,3.15,0.464,0.3533,-0.2877,0.8762,0.3439,NA,NA,NA,NA,NA,NA,NA
74,16,Zhang et al. 2010b,104.48,35.77,6.7,390,Non-forest,6,10,5.23,0.9643,1.0686,NA,NA,NA,1.2189,1.3648,NA,NA,NA,NA,NA
75,16,Zhang et al. 2010b,104.48,35.77,6.7,390,Non-forest,6,10,5.15,0.9787,1.0081,NA,NA,NA,1.2189,1.0253,NA,NA,NA,NA,NA
76,17,Zhang et al. 2010b,104.48,35.77,6.7,390,Forest,50,10,5.23,0.9981,0.8963,NA,NA,NA,1.1889,1.3648,NA,NA,NA,NA,NA
77,17,Zhang et al. 2010b,104.48,35.77,6.7,390,Forest,6,10,5.23,0.5471,0.5436,NA,NA,NA,0.7732,1.1403,NA,NA,NA,NA,NA
78,17,Zhang et al. 2010b,104.48,35.77,6.7,390,Forest,50,10,5.15,1.0125,0.8358,NA,NA,NA,1.1889,1.0253,NA,NA,NA,NA,NA
79,17,Zhang et al. 2010b,104.48,35.77,6.7,390,Forest,6,10,5.15,0.5615,0.4831,NA,NA,NA,0.7732,0.8008,NA,NA,NA,NA,NA
80,18,Zhang et al. 2010b,104.48,35.77,6.7,390,Non-forest,6,10,5.23,0.5551,0.5076,NA,NA,NA,0.9361,1.3146,NA,NA,NA,NA,NA
81,18,Zhang et al. 2010b,104.48,35.77,6.7,390,Non-forest,6,10,5.15,0.5695,0.4471,NA,NA,NA,0.9361,0.9751,NA,NA,NA,NA,NA
82,19,Zhang et al. 2010b,104.48,35.77,6.7,390,Non-forest,20,10,5.23,0.502,0.4119,NA,NA,NA,0.9361,1.3969,NA,NA,NA,NA,NA
83,19,Zhang et al. 2010b,104.48,35.77,6.7,390,Non-forest,20,10,5.15,0.5164,0.3513,NA,NA,NA,0.9361,1.0574,NA,NA,NA,NA,NA
84,20,Jia 2006,104.42,36.03,6.2,328.1,Non-forest,3,5,7.04,0.2923,0.5639,0.2323,NA,NA,0.3844,0.5493,NA,NA,NA,NA,NA
